3.4,Anniston-Oxford,MT0111500000000,Alabama,AL
2.8,Auburn-Opelika,MT0112220000000,Alabama,AL
3.0,Birmingham,MT0113820000000,Alabama,AL
3.0,Daphne-Fairhope-Foley,MT0119300000000,Alabama,AL
2.7,Decatur,MT0119460000000,Alabama,AL
3.3,Dothan,MT0120020000000,Alabama,AL
3.4,Florence-Muscle Shoals,MT0122520000000,Alabama,AL
3.5,Gadsden,MT0123460000000,Alabama,AL
2.7,Huntsville,MT0126620000000,Alabama,AL
3.9,Mobile,MT0133660000000,Alabama,AL
3.2,Montgomery,MT0133860000000,Alabama,AL
3.1,Tuscaloosa,MT0146220000000,Alabama,AL
4.0,Anchorage,MT0211260000000,Alaska,AK
4.0,Fairbanks-College,MT0221820000000,Alaska,AK
3.8,Flagstaff,MT0422380000000,Arizona,AZ
4.4,Lake Havasu City-Kingman,MT0429420000000,Arizona,AZ
3.1,Phoenix-Mesa-Chandler,MT0438060000000,Arizona,AZ
3.2,Prescott Valley-Prescott,MT0439150000000,Arizona,AZ
4.3,Sierra Vista-Douglas,MT0443420000000,Arizona,AZ
3.4,Tucson,MT0446060000000,Arizona,AZ
11.9,Yuma,MT0449740000000,Arizona,AZ
2.6,Fayetteville-Springdale-Rogers,MT0522220000000,Arkansas,AR
3.3,Fort Smith,MT0522900000000,Arkansas,AR
3.6,Hot Springs,MT0526300000000,Arkansas,AR
3.2,Jonesboro,MT0527860000000,Arkansas,AR
3.1,Little Rock-North Little Rock-Conway,MT0530780000000,Arkansas,AR
8.2,Bakersfield-Delano,MT0612540000000,California,CA
5.7,Chico,MT0617020000000,California,CA
18.5,El Centro,MT0620940000000,California,CA
7.9,Fresno,MT0623420000000,California,CA
8.8,Hanford-Corcoran,MT0625260000000,California,CA
5.2,Los Angeles-Long Beach-Anaheim,MT0631080000000,California,CA
9.8,Merced,MT0632900000000,California,CA
6.7,Modesto,MT0633700000000,California,CA
4.1,Napa,MT0634900000000,California,CA
4.7,Oxnard-Thousand Oaks-Ventura,MT0637100000000,California,CA
5.1,Redding,MT0639820000000,California,CA
4.9,Riverside-San Bernardino-Ontario,MT0640140000000,California,CA
4.5,Sacramento-Roseville-Folsom,MT0640900000000,California,CA
8.5,Salinas,MT0641500000000,California,CA
4.2,San Diego-Chula Vista-Carlsbad,MT0641740000000,California,CA
4.0,San Francisco-Oakland-Fremont,MT0641860000000,California,CA
4.0,San Jose-Sunnyvale-Santa Clara,MT0641940000000,California,CA
3.9,San Luis Obispo-Paso Robles,MT0642020000000,California,CA
6.2,Santa Cruz-Watsonville,MT0642100000000,California,CA
4.6,Santa Maria-Santa Barbara,MT0642200000000,California,CA
4.0,Santa Rosa-Petaluma,MT0642220000000,California,CA
6.4,Stockton-Lodi,MT0644700000000,California,CA
4.9,Vallejo,MT0646700000000,California,CA
10.2,Visalia,MT0647300000000,California,CA
7.9,Yuba City,MT0649700000000,California,CA
4.3,Boulder,MT0814500000000,Colorado,CO
4.5,Colorado Springs,MT0817820000000,Colorado,CO
4.6,Denver-Aurora-Centennial,MT0819740000000,Colorado,CO
4.2,Fort Collins-Loveland,MT0822660000000,Colorado,CO
4.6,Grand Junction,MT0824300000000,Colorado,CO
4.7,Greeley,MT0824540000000,Colorado,CO
6.2,Pueblo,MT0839380000000,Colorado,CO
2.6,Bridgeport-Stamford-Danbury,MT0914860000000,Connecticut,CT
2.7,Hartford-West Hartford-East Hartford,MT0925540000000,Connecticut,CT
2.6,New Haven,MT0935300000000,Connecticut,CT
2.6,Norwich-New London-Willimantic,MT0935980000000,Connecticut,CT
3.1,Waterbury-Shelton,MT0947930000000,Connecticut,CT
3.4,Dover,MT1020100000000,Delaware,DE
3.3,Cape Coral-Fort Myers,MT1215980000000,Florida,FL
3.0,Crestview-Fort Walton Beach-Destin,MT1218880000000,Florida,FL
3.7,Deltona-Daytona Beach-Ormond Beach,MT1219660000000,Florida,FL
3.5,Gainesville,MT1223540000000,Florida,FL
4.7,Homosassa Springs,MT1226140000000,Florida,FL
3.2,Jacksonville,MT1227260000000,Florida,FL
3.9,Lakeland-Winter Haven,MT1229460000000,Florida,FL
2.7,Miami-Fort Lauderdale-West Palm Beach,MT1233100000000,Florida,FL
3.1,Naples-Marco Island,MT1234940000000,Florida,FL
3.4,North Port-Bradenton-Sarasota,MT1235840000000,Florida,FL
3.9,Ocala,MT1236100000000,Florida,FL
3.0,Orlando-Kissimmee-Sanford,MT1236740000000,Florida,FL
3.3,Palm Bay-Melbourne-Titusville,MT1237340000000,Florida,FL
3.3,Panama City-Panama City Beach,MT1237460000000,Florida,FL
3.4,Pensacola-Ferry Pass-Brent,MT1237860000000,Florida,FL
3.5,Port St. Lucie,MT1238940000000,Florida,FL
4.1,Punta Gorda,MT1239460000000,Florida,FL
3.8,Sebastian-Vero Beach-West Vero Corridor,MT1242680000000,Florida,FL
4.6,Sebring,MT1242700000000,Florida,FL
3.3,Tallahassee,MT1245220000000,Florida,FL
3.3,Tampa-St. Petersburg-Clearwater,MT1245300000000,Florida,FL
5.4,Wildwood-The Villages,MT1248680000000,Florida,FL
3.8,Albany,MT1310500000000,Georgia,GA
2.8,Athens-Clarke County,MT1312020000000,Georgia,GA
3.3,Atlanta-Sandy Springs-Roswell,MT1312060000000,Georgia,GA
4.2,Augusta-Richmond County,MT1312260000000,Georgia,GA
2.8,Brunswick-St. Simons,MT1315260000000,Georgia,GA
3.9,Columbus,MT1317980000000,Georgia,GA
6.1,Dalton,MT1319140000000,Georgia,GA
2.5,Gainesville,MT1323580000000,Georgia,GA
3.6,Hinesville,MT1325980000000,Georgia,GA
4.0,Macon-Bibb County,MT1331420000000,Georgia,GA
3.4,Rome,MT1340660000000,Georgia,GA
2.8,Savannah,MT1342340000000,Georgia,GA
3.8,Valdosta,MT1346660000000,Georgia,GA
2.9,Warner Robins,MT1347580000000,Georgia,GA
3.5,Kahului-Wailuku,MT1527980000000,Hawaii,HI
2.6,Urban Honolulu,MT1546520000000,Hawaii,HI
3.4,Boise City,MT1614260000000,Idaho,ID
4.7,Coeur d'Alene,MT1617660000000,Idaho,ID
3.1,Idaho Falls,MT1626820000000,Idaho,ID
3.7,Lewiston,MT1630300000000,Idaho,ID
4.1,Pocatello,MT1638540000000,Idaho,ID
3.6,Twin Falls,MT1646300000000,Idaho,ID
3.4,Bloomington,MT1714010000000,Illinois,IL
3.3,Champaign-Urbana,MT1716580000000,Illinois,IL
4.5,Chicago-Naperville-Elgin,MT1716980000000,Illinois,IL
4.4,Davenport-Moline-Rock Island,MT1719340000000,Iowa,IA
5.2,Decatur,MT1719500000000,Illinois,IL
5.0,Kankakee,MT1728100000000,Illinois,IL
4.5,Peoria,MT1737900000000,Illinois,IL
4.8,Rockford,MT1740420000000,Illinois,IL
3.8,Springfield,MT1744100000000,Illinois,IL
3.4,Bloomington,MT1814020000000,Indiana,IN
3.9,Columbus,MT1818020000000,Indiana,IN
4.4,Elkhart-Goshen,MT1821140000000,Indiana,IN
3.6,Evansville,MT1821780000000,Indiana,IN
3.7,Fort Wayne,MT1823060000000,Indiana,IN
3.7,Indianapolis-Carmel-Greenwood,MT1826900000000,Indiana,IN
7.3,Kokomo,MT1829020000000,Indiana,IN
3.5,Lafayette-West Lafayette,MT1829200000000,Indiana,IN
4.7,Michigan City-La Porte,MT1833140000000,Indiana,IN
4.3,Muncie,MT1834620000000,Indiana,IN
4.7,South Bend-Mishawaka,MT1843780000000,Indiana,IN
4.2,Terre Haute,MT1845460000000,Indiana,IN
2.2,Ames,MT1911180000000,Iowa,IA
3.2,Cedar Rapids,MT1916300000000,Iowa,IA
3.0,Des Moines-West Des Moines,MT1919780000000,Iowa,IA
3.4,Dubuque,MT1920220000000,Iowa,IA
2.2,Iowa City,MT1926980000000,Iowa,IA
3.0,Sioux City,MT1943580000000,Iowa,IA
3.5,Waterloo-Cedar Falls,MT1947940000000,Iowa,IA
2.8,Lawrence,MT2029940000000,Kansas,KS
3.0,Manhattan,MT2031740000000,Kansas,KS
3.3,Topeka,MT2045820000000,Kansas,KS
3.7,Wichita,MT2048620000000,Kansas,KS
4.6,Bowling Green,MT2114540000000,Kentucky,KY
5.4,Elizabethtown,MT2121060000000,Kentucky,KY
4.1,Lexington-Fayette,MT2130460000000,Kentucky,KY
4.4,Louisville/Jefferson County,MT2131140000000,Kentucky,KY
4.9,Owensboro,MT2136980000000,Kentucky,KY
5.0,Paducah,MT2137140000000,Kentucky,KY
3.9,Alexandria,MT2210780000000,Louisiana,LA
3.9,Baton Rouge,MT2212940000000,Louisiana,LA
4.6,Hammond,MT2225220000000,Louisiana,LA
3.7,Houma-Bayou Cane-Thibodaux,MT2226380000000,Louisiana,LA
3.6,Lafayette,MT2229180000000,Louisiana,LA
4.5,Lake Charles,MT2229340000000,Louisiana,LA
4.7,Monroe,MT2233740000000,Louisiana,LA
4.1,New Orleans-Metairie,MT2235380000000,Louisiana,LA
4.1,Shreveport-Bossier City,MT2243340000000,Louisiana,LA
3.7,Slidell-Mandeville-Covington,MT2243640000000,Louisiana,LA
3.8,Bangor,MT2312620000000,Maine,ME
3.5,Lewiston-Auburn,MT2330340000000,Maine,ME
3.0,Portland-South Portland,MT2338860000000,Maine,ME
2.7,Baltimore-Columbia-Towson,MT2412580000000,Maryland,MD
2.9,Hagerstown-Martinsburg,MT2425180000000,Maryland,MD
2.3,Lexington Park,MT2430500000000,Maryland,MD
3.3,Salisbury,MT2441540000000,Maryland,MD
3.9,Amherst Town-Northampton,MT2511200000000,Massachusetts,MA
5.4,Barnstable Town,MT2512700000000,Massachusetts,MA
3.8,Boston-Cambridge-Newton,MT2514460000000,Massachusetts,MA
4.2,Pittsfield,MT2538340000000,Massachusetts,MA
5.0,Springfield,MT2544140000000,Massachusetts,MA
4.2,Worcester,MT2549340000000,Massachusetts,MA
3.9,Ann Arbor,MT2611460000000,Michigan,MI
5.7,Battle Creek,MT2612980000000,Michigan,MI
5.9,Bay City,MT2613020000000,Michigan,MI
4.7,Detroit-Warren-Dearborn,MT2619820000000,Michigan,MI
6.1,Flint,MT2622420000000,Michigan,MI
4.3,Grand Rapids-Wyoming-Kentwood,MT2624340000000,Michigan,MI
5.3,Jackson,MT2627100000000,Michigan,MI
4.5,Kalamazoo-Portage,MT2628020000000,Michigan,MI
4.5,Lansing-East Lansing,MT2629620000000,Michigan,MI
4.8,Midland,MT2633220000000,Michigan,MI
5.3,Monroe,MT2633780000000,Michigan,MI
5.8,Muskegon-Norton Shores,MT2634740000000,Michigan,MI
5.6,Niles,MT2635660000000,Michigan,MI
6.3,Saginaw,MT2640980000000,Michigan,MI
4.9,Traverse City,MT2645900000000,Michigan,MI
3.2,Duluth,MT2720260000000,Minnesota,MN
2.2,Mankato,MT2731860000000,Minnesota,MN
2.4,Minneapolis-St. Paul-Bloomington,MT2733460000000,Minnesota,MN
2.2,Rochester,MT2740340000000,Minnesota,MN
3.0,St. Cloud,MT2741060000000,Minnesota,MN
3.3,Gulfport-Biloxi,MT2825060000000,Mississippi,MS
3.3,Hattiesburg,MT2825620000000,Mississippi,MS
3.1,Jackson,MT2827140000000,Mississippi,MS
2.9,Cape Girardeau,MT2916020000000,Missouri,MO
2.5,Columbia,MT2917860000000,Missouri,MO
2.6,Jefferson City,MT2927620000000,Missouri,MO
3.1,Joplin,MT2927900000000,Missouri,MO
3.2,Kansas City,MT2928140000000,Missouri,MO
3.2,St. Joseph,MT2941140000000,Missouri,MO
3.3,St. Louis,MT2941180000000,Missouri,MO
2.9,Springfield,MT2944180000000,Missouri,MO
2.8,Billings,MT3013740000000,Montana,MT
2.3,Bozeman,MT3014580000000,Montana,MT
2.8,Great Falls,MT3024500000000,Montana,MT
2.7,Helena,MT3025740000000,Montana,MT
3.0,Missoula,MT3033540000000,Montana,MT
2.9,Grand Island,MT3124260000000,Nebraska,NE
2.4,Lincoln,MT3130700000000,Nebraska,NE
2.8,Omaha,MT3136540000000,Nebraska,NE
4.7,Carson City,MT3216180000000,Nevada,NV
5.9,Las Vegas-Henderson-North Las Vegas,MT3229820000000,Nevada,NV
4.7,Reno,MT3239900000000,Nevada,NV
3.0,Manchester-Nashua,MT3331700000000,New Hampshire,NH
6.7,Atlantic City-Hammonton,MT3412100000000,New Jersey,NJ
4.1,Trenton-Princeton,MT3445940000000,New Jersey,NJ
6.9,Vineland,MT3447220000000,New Jersey,NJ
3.6,Albuquerque,MT3510740000000,New Mexico,NM
4.2,Farmington,MT3522140000000,New Mexico,NM
4.5,Las Cruces,MT3529740000000,New Mexico,NM
3.4,Santa Fe,MT3542140000000,New Mexico,NM
3.1,Albany-Schenectady-Troy,MT3610580000000,New York,NY
3.9,Binghamton,MT3613780000000,New York,NY
3.9,Buffalo-Cheektowaga,MT3615380000000,New York,NY
3.7,Elmira,MT3621300000000,New York,NY
3.6,Glens Falls,MT3624020000000,New York,NY
3.1,Ithaca,MT3627060000000,New York,NY
3.2,Kingston,MT3628740000000,New York,NY
3.2,Kiryas Joel-Poughkeepsie-Newburgh,MT3628880000000,New York,NY
4.3,New York-Newark-Jersey City,MT3635620000000,New York,NY
3.4,Rochester,MT3640380000000,New York,NY
3.4,Syracuse,MT3645060000000,New York,NY
3.7,Utica-Rome,MT3646540000000,New York,NY
4.5,Watertown-Fort Drum,MT3648060000000,New York,NY
5.3,Asheville,MT3711700000000,North Carolina,NC
3.2,Burlington,MT3715500000000,North Carolina,NC
3.4,Charlotte-Concord-Gastonia,MT3716740000000,North Carolina,NC
2.9,Durham-Chapel Hill,MT3720500000000,North Carolina,NC
4.1,Fayetteville,MT3722180000000,North Carolina,NC
3.3,Goldsboro,MT3724140000000,North Carolina,NC
3.7,Greensboro-High Point,MT3724660000000,North Carolina,NC
3.6,Greenville,MT3724780000000,North Carolina,NC
3.4,Hickory-Lenoir-Morganton,MT3725860000000,North Carolina,NC
3.4,Jacksonville,MT3727340000000,North Carolina,NC
3.0,Pinehurst-Southern Pines,MT3738240000000,North Carolina,NC
2.8,Raleigh-Cary,MT3739580000000,North Carolina,NC
4.3,Rocky Mount,MT3740580000000,North Carolina,NC
3.2,Wilmington,MT3748900000000,North Carolina,NC
3.3,Winston-Salem,MT3749180000000,North Carolina,NC
2.4,Bismarck,MT3813900000000,North Dakota,ND
2.3,Fargo,MT3822020000000,North Dakota,ND
2.3,Grand Forks,MT3824220000000,North Dakota,ND
2.5,Minot,MT3833500000000,North Dakota,ND
4.6,Akron,MT3910420000000,Ohio,OH
4.6,Canton-Massillon,MT3915940000000,Ohio,OH
4.1,Cincinnati,MT3917140000000,Ohio,OH
3.3,Cleveland,MT3917410000000,Ohio,OH
3.9,Columbus,MT3918140000000,Ohio,OH
4.4,Dayton-Kettering-Beavercreek,MT3919430000000,Ohio,OH
4.4,Lima,MT3930620000000,Ohio,OH
5.1,Mansfield,MT3931900000000,Ohio,OH
6.1,Sandusky,MT3941780000000,Ohio,OH
4.7,Springfield,MT3944220000000,Ohio,OH
5.4,Toledo,MT3945780000000,Ohio,OH
5.2,Weirton-Steubenville,MT3948260000000,West Virginia,WV
5.1,Youngstown-Warren,MT3949660000000,Ohio,OH
